TradingDay,index_code,prev_close,open_price,high_price,low_price,close_price,turnover_volume,turnover_value,negotiable_mv,change_pct,index_return,net_buy_value,buy_value_xl,sell_value_xl,buy_value_l,sell_value_l,buy_value_m,sell_value_m,buy_value_s,sell_value_s,free_float_mktval
2020-12-28,000905.SH,6278.4981,6283.7821,6288.2442,6219.091,6244.4818,14896021400.0,160495558567.3,5532529810000.0,-0.5417904,-0.005417904,-5801387093.98,24148354791.55,25405819932.27,23337549435.43,25280028868.83,23451404531.5,25400011383.55,6409776983.65,7062612651.46,4870356200878.99
2020-12-29,000905.SH,6244.4818,6240.7355,6280.0396,6196.4147,6199.8523,15447603200.0,155674658940.1,5492988650000.0,-0.71470302,-0.0071470302,339279112.45,25476479061.93,26415986914.23,22909624026.23,23232891443.69,23012948707.11,22244379472.42,6607917236.99,5774432089.47,4834766030599.26
2020-12-30,000905.SH,6199.8523,6196.4505,6289.2704,6188.5931,6269.2484,13804167300.0,148227835332.6,5554472700000.0,1.1193186,0.011193185999999999,10819608123.57,31917300498.61,22724741772.3,22433699230.4,21529231765.34,20179543231.9,19737539611.61,4993178772.79,4712600460.88,4889666708532.68
2020-12-31,000905.SH,6269.2484,6282.9576,6370.5695,6281.0138,6367.1149,16019408600.0,174289318594.1,5641181190000.0,1.56105635,0.0156105635,9394470633.04,36214284529.61,25734571988.15,25414043597.54,25063374951.99,23992279386.64,24814280540.18,6221287105.22,6835196505.65,4967991164631.91
2021-01-04,000905.SH,6367.1149,6395.6118,6501.5892,6359.0797,6482.7868,18662120900.0,211126911334.4,5743664990000.0,1.81670822,0.0181670822,4552898243.17,42979429157.37,35247937365.26,31669089036.62,30875691150.21,26935424232.19,29447422259.81,6255962368.14,7715955775.87,5063251048893.87
2021-01-05,000905.SH,6482.7868,6470.2503,6539.7315,6452.5245,6539.7315,19672629200.0,227033005056.2,5793966670000.0,0.87839847,0.0087839847,4398225826.91,46408454334.45,40272441345.01,34449206031.78,34306896411.77,28562115707.28,29759075514.5,6295839374.06,6978976349.38,5111099277032.01
2021-01-06,000905.SH,6539.7315,6549.731,6569.199,6472.7446,6528.1425,17852108600.0,209333367288.0,5783699230000.0,-0.17720911,-0.0017720911,-1343184206.87,46991003301.15,42985345100.49,31121300761.04,33456206182.74,22045629370.17,24311288178.53,3837158113.66,4585436291.13,5104065255894.01
2021-01-07,000905.SH,6528.1425,6523.6756,6567.2727,6467.4371,6538.1162,19713564100.0,219238806494.6,5792535540000.0,0.15278006,0.0015278006,1783174541.79,42537083403.04,38652760696.73,34325594346.96,35369562575.34,27802117247.11,28912593479.47,5846195526.64,5792899230.42,5113636669340.14
2021-01-08,000905.SH,6538.1162,6541.5576,6598.3812,6484.3979,6557.5964,18083742900.0,207113827943.6,5809794320000.0,0.29794821,0.0029794821,5728087341.4,39194799355.27,37747204360.66,32492449568.28,31403963253.08,28093642858.83,26075262296.23,6640065865.89,5466440396.9,5129193690655.04
2021-01-11,000905.SH,6557.5964,6557.4528,6572.8538,6419.731,6455.3987,18325727100.0,217940399022.5,5725084950000.0,-1.55846279,-0.015584627900000002,-7267523499.58,40477738920.7,41431328774.62,31367341212.62,34723903190.9,27176523453.49,29779184528.25,6314834180.16,6669544772.78,5048835183063.3
